,station,address,avg_fast,avg_slow,lat,lng
172,서울시여성가족재단,서울특별시 동작구 대방동 345-1,39.43714285714283,0.0,37.51285934813,126.928467032
173,신림동부센트레빌,서울특별시 관악구 신림동 미성3길 16,0.0,1.507032967032967,37.4729532457,126.9160634915
174,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,3.352087912087913,2.13356043956044,37.5000083801,126.92637413
175,청광 아파트,서울특별시 관악구 신림로3가길 45-24,0.0,1.2274725274725276,37.467697029,126.94203825
176,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16,0.0,8.556263736263736,37.4912743812,126.9240940365
177,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37,2.529098901098901,7.482857142857141,37.5051697239,126.9330779992
178,관악구 평생학습관,"서울특별시 관악구 남부순환로 1546 (신림동, 관악문화정보센터)",1.6900000000000002,0.0,37.484478416765,126.9336329584
179,빙수골 장미주차장,"서울특별시 동작구 국사봉16길 28 (상도동, 빙수골장미공영주차장)",6.25017582417582,0.0,37.493303809,126.9336732
180,관악구 종합체육센타,"서울특별시 관악구 낙성대로3길 37 (봉천동, 관악구민종합체육센터)",66.21690109890102,0.0,37.482950598,126.92242741
181,대방중간집하장 공영주차장,"서울특별시 동작구 노량진로 47 (대방동, 대방차고쓰레기처리시설)",1.6719780219780223,0.0,37.513748188152,126.930734046
182,리첸시아방배,서울특별시 서초구 방배동 755-14,0.0,8.986483516483519,37.4972769868,126.9857331315
183,서초네이처힐7단지,서울특별시 서초구 우면동 735,0.0,18.661373626373624,37.4610734048,127.0211322702
184,서초네이처힐6단지,서울특별시 서초구 우면동 737,12.611450549450552,22.639494505494515,37.4611517998,127.0256490145
185,서초지사,서울특별시 서초구 효령로 72길 60,36.151725274725344,1.3038021978021987,37.48560466,127.028077
186,서초포레스타5단지,서울특별시 서초구 신원동 374,3.953956043956044,13.295443223443224,37.4511428681,127.0576833777
187,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6,2.565252747252747,18.24813186813189,37.5020983625,127.0198681406
188,반포리체 아파트,서울특별시 서초구 반포동 30-26,20.080483516483515,32.18318681318668,37.5044672196,127.0124541711
189,예술의 전당,서울특별시 서초구 서초동 산 130-19,89.73228571428558,0.0,37.478856,127.011318
190,방배롯데캐슬아르떼,서울특별시 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null,0.0,13.029494505494526,37.48342824587,126.9837639178
191,서초롯데캐슬프레지던트,서울특별시 서초구 서초동 1681-8,0.0,10.981692307692303,37.496973514,127.019418966
192,현대멤피스(A),서울특별시 서초구 방배동 774-19,0.0,11.835395604395604,37.49464638455,126.9888727756
193,서초경남아너스빌201동,서울특별시 서초구 서초동 1456-2,0.0,6.796285714285717,37.4838195485,127.0141783796
194,현대멤피스(B),서울특별시 서초구 방배동 772-13,0.0,5.58874725274725,37.49521397652,126.98843167
195,방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275,0.0,15.284538461538473,37.4973457271,126.9881169632
196,서초힐스 아파트,서울특별시 서초구 우면동 773,12.637934065934056,24.26617582417583,37.4576068928,127.0175687231
197,아크로리버파크,서울특별시 서초구 반포동 2-12,0.0,21.710329670329667,37.506252,126.9926731
198,서초더샵포레,서울특별시 서초구 내곡동 77,10.96821978021978,25.558681318681334,37.45392176545,127.0643310989
199,서울시립어린이병원,서울특별시 서초구 내곡동 6-7,45.1489670329671,0.0,37.4557176389,127.068853552
200,LH서초4단지 아파트,서울특별시 서초구 우면동 788,0.0,23.71008791208787,37.45822562472,127.024165105
201,삼창골든빌리지 입주자대표회의,서울특별시 서초구 반포동 동광로32길 7,0.0,11.548714285714283,37.493953,126.997425
202,서초동일하이빌,서울특별시 서초구 서초동 1542-1,0.0,19.30832967032967,37.49157868738,127.0083026731
203,신세계 강남점,서울특별시 서초구 반포동 19-3,61.632472527472686,0.0,37.504017347023,127.0024937597
204,방배3차e편한세상,서울특별시 서초구 방배동 797-30,0.0,19.372307692307725,37.494387147,126.9919893308
205,서초2차e편한세상아파트,서울특별시 서초구 서초동 1529,0.0,12.764483516483516,37.48631222642,127.0092490429
206,서초네이처힐1단지,서울특별시 서초구 우면동 707,0.0,6.477736263736259,37.4641083573,127.0191075276
207,방배1차 e편한세상,서울특별시 서초구 방배동 884-2,0.0,7.708241758241758,37.4872478308,126.9990140262
208,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763,22.060681318681315,0.0,37.45685749231,127.0158573549
209,롯데캐슬헤론,서울특별시 서초구 방배동 754-1,13.044373626373625,6.72357142857143,37.4969957466,126.984724466
210,반포미도아파트,서울특별시 서초구 반포동 60-4,13.179670329670323,0.0,37.4999733383,127.0087078977
211,서초롯데캐슬84,서울특별시 서초구 서초동 1642-14,0.0,8.701406593406588,37.4926055935,127.0184136982
212,방배아이파크 아파트,서울특별시 서초구 방배동 3277,0.0,5.958230769230771,37.4914635743,126.9848070079
213,방배롯데캐슬포레스트,서울특별시 서초구 방배동 844-1,0.0,8.757197802197805,37.49182668407,126.9958726786
214,국립 중앙도서관,서울특별시 서초구 반포동 산 94-1,15.33536263736266,0.0,37.497059314057,127.0030787442
215,서초아크빌,서울특별시 서초구 반포대로22길 86,0.0,4.296021978021979,37.49068177836,127.0128453848
216,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34,0.0,2.4673296703296708,37.4877842236,127.0120262532
217,양재리본타워2단지아파트,서울특별시 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null,0.0,2.99807142857143,37.464809033,127.0359230291
218,태남빌딩 주차장,서울특별시 서초구 잠원로3길 40,2.3560879120879115,0.0,37.508200233894,127.0036390565
219,반포동방음언덕형 공영주차장,서울특별시 서초구 주흥5길 20 (반포동),8.631714285714288,0.0,37.498091006211,126.9996918386
220,잠원동방음언덕형 공영주차장,서울특별시 서초구 잠원동 10-33,42.987230769230784,0.0,37.516202344963,127.0162318685
221,서초리젠 아파트,서울특별시 서초구 서초동 1444-19,0.0,0.006164835164835165,37.4843053021,127.0196960903
222,현대ESA아파트,서울특별시 서초구 서초동 1338,0.0,5.233560439560441,37.49088602217,127.0295128041
223,월드메르디앙 아파트,서울특별시 서초구 서초동 1549-3,0.3815164835164835,0.0,37.4901990746,127.0104481156
224,구룡공원 공영주차장,서울특별시 서초구 양재동 399,6.344021978021975,0.0,37.4716396,127.0485046
225,동산마을 공영주차장,"서울특별시 서초구 강남대로8길 77 (양재동, 동산마을구립주차장)",23.329472527472536,0.0,37.470090886,127.04430893
