,stat_id,node_id,distance,link
216,KP000986,1100034600.0,0.1420081699926663,"[1100064200, 1100064300, 1100065400, 1100065500, 1100027101, 1100027102, 1100027201, 1100027202]"
217,KP000987,1090015800.0,0.1592400160032943,"[1090011101, 1090011102, 1090011201, 1090011202, 1090030000, 1090030100]"
218,KP000988,1090015800.0,0.0657825869621826,"[1090011101, 1090011102, 1090011201, 1090011202, 1090030000, 1090030100]"
219,KP000989,1090017100.0,0.0426423799373626,"[1090011502, 1090011503, 1090011602, 1090011603, 1090032800, 1090032900, 1090033400, 1090033500]"
220,KP000990,1100046900.0,0.1322726850551682,"[1100033901, 1100033902, 1100034001, 1100034002, 1100080800, 1100080900]"
221,KP000993,1100026400.0,0.05149325147282,"[1100056700, 1100056800, 1100167300, 1100167400]"
222,KP000994,1100034100.0,0.2298720464229811,"[1100063400, 1100063500, 1100064400, 1100064500, 1100065000, 1100065100]"
223,KP000995,1100031000.0,0.2393611655183139,"[1100177701, 1100177601, 1100002002, 1100062100]"
224,KP000996,1090014700.0,0.0941156881646476,"[1090009903, 1090009904, 1090029200]"
225,KP000997,1090005000.0,0.0469041678212635,"[1090000901, 1090000902, 1090001001, 1090001002, 1090014300, 1090014400]"
226,KP000998,1090013300.0,0.1386032911367268,"[1090027300, 1090027400, 1090026700, 1090026800, 1090028200, 1090028300]"
227,KP000999,1090009800.0,0.0896273705465526,"[1090006501, 1090006502, 1090006601, 1090006602, 1090021300, 1090021400]"
228,KP001000,1100086401.0,0.0184362283332366,"[1100177301, 1100177401]"
229,KP001002,1120007601.0,0.0558392035130769,"[1120018901, 1120018902, 1120019001, 1120019002, 1120061300, 1120061400]"
230,KP001003,1130012000.0,0.0595934263394767,"[1130008301, 1130008302, 1130008401, 1130008402, 1130035000, 1130035100, 1130037600, 1130037700]"
231,KP001004,1130009200.0,0.1322562207472202,"[1130000202, 1130000203, 1130030700]"
