,stat_id,station,address,lat,lng,household,num_cars,num_rest,traffic,avg_fast,avg_slow,nearby_neighbor
75,KP005361,송파도서관,"서울특별시 송파구 동남로 263 (오금동, 송파도서관)",37.501,127.134,282417,1968,162,10569.0,1.1090549450549452,0.0,6
76,KP005353,강동아트센터(강동문화재단),"서울특별시 강동구 동남로 870 (상일동, 강동아트센터)",37.5511,127.1573,201613,1279,40,5086.0,0.4964395604395605,0.0,9
77,KP004052,문래힐스테이트,서울특별시 영등포구 문래동3가 문래로 82,37.51872,126.89107,187020,2407,426,9008.0,0.0,7.145821428571431,16
78,KP002350,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127,37.520241356,126.9264085517,187020,2407,802,45549.0,13.217560439560446,19.854505494505485,18
79,KP000942,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66,37.5103939542,126.9001777987,187020,2407,174,15352.0,6.107318681318685,12.898578754578756,11
80,KP003265,대림어린이공원 공영주차장,서울특별시 영등포구 대림동 870,37.491084439,126.9033538022,187020,2407,224,29549.0,74.73758241758239,0.0,13
81,KP002726,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12,37.5162769232,126.8973918801,187020,2407,366,1234.0,12.682725274725277,18.974945054945067,10
82,KP000021,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80,37.52031651,126.892762,187020,2407,417,12895.0,114.38351648351644,0.5827409733124019,15
83,KP001811,신길경남 아파트,서울특별시 영등포구 영등포로 351,37.515558,126.918256,187020,2407,147,51795.0,2.7061538461538466,12.702087912087912,8
84,KP000020,남서울직할,서울특별시 영등포구 여의도동 21,37.52754543,126.930284,187020,2407,145,37102.0,37.88495604395612,1.9816758241758248,3
85,KP000731,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1,37.5208860347,126.8928607252,187020,2407,424,12895.0,3.0655164835164825,14.702747252747256,15
86,KP000018,국회의사당,서울특별시 영등포구 여의도동 1,37.5329136,126.9164036,187020,2407,255,12987.0,0.0,16.284461538461567,4
87,KP004050,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540,37.50276,126.91541,187020,2407,137,10662.0,0.0,2.907412087912089,7
88,KP002661,신길뉴타운한화꿈에그린,서울특별시 영등포구 신길동 신길로 119,37.5035107402,126.909709552,187020,2407,196,10662.0,0.0,7.282087912087914,7
89,KP002273,보라매벚꽃마을아파트,서울특별시 영등포구 신길동 대방천로14길 34,37.4959210357,126.9101936408,187020,2407,118,10662.0,0.0,51.87584615384612,12
90,MO115605,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,37.505457,126.9153493,187020,2407,73,13095.0,6.9829010989011,10.294945054945051,9
